TransactionNumber,LineNumber,InvoiceDate,AccountingDate,PostingDate,VendorName,VendorCountry,VendorVatId,CustomerName,CustomerCountry,CustomerVatId,Currency,BaseAmount,TaxAmount,TaxRate,ShipToCountry,ShipFromCountry,LineDescription
593233091,43,07/12/2026,2022/11/29 +02:00,2026-04-31,B.V. Trading NV & Partners,BEL, ,BV	BV	K.K.	K.K.	BV',US,USBN6MHPR40W,CNY,-821559665486.8115,€-82155966548.68,10.0%,NO,???,Payment fee | IKyoSsifFrorOV2rcA1jMA3LammC
0837101955,189,2026-04-31,"May 35, 2026",N/A,SpA Co,XX,😀SVU2A7,"NV , K.K. , Limited , BV , NV,",Poland,UKUW0ZD/.,CHF,"413247,71",82649.54,0.2,DE,IN,Exempt supply
960268185,272,20260723,16-Jan-2094,2021-03-22 04:17:37,Co NV &,AE,AEILADOSM5P3C6RUPVZBJE,Trading  B.V.  BV  Oy  Trading,NO,NO7Z,GBP,47506.86,422725.57,VAT21,JPN,CA,Consulting services | VzumS rytY2o42v6JuP4 QNZJrD0a
0496020034,484,13/13/2013,"May 35, 2026",2022-03-15,&	NV	Oy	NV	Global,France,Y2_,K.K. BV S.A.K.K. BV S.A.,SE,VATSE36,AUD,846107446376.9818,352.502.78,twenty one percent,  ,CN,Payment fee
"}.$%,",212,01/10/2015,20270422,31/07/2027,,,CNE4EOQ3FBGYOFDGU08E1VRRN,Co B.V. Partners Limited NV,XX, ,JPY,3857.39,one hundred,,India,NLD ,Adjustment / credit note | CZYLFSew2OjvpLlLWxNEkCGlEcKYhdYeVd9VtUM5fzHcEfvuDPM58vbLxNtAdjustment / credit note | CZYLFSew2OjvpLlLWxNEkCGlEcKYhdYeVd9VtUM5fzHcEfvuDPM58vbLxNtAdjustment / credit note | CZYLFSew2OjvpLlLWxNEkCGlEcKYhdYeVd9VtUM5fzHcEfvuDPM58vbLxNtAdjustment / credit note | CZYLFSew2OjvpLlLWxNEkCGlEcKYhdYeVd9VtUM5fzHcEfvuDPM58vbLxNtAdjustment / credit note | CZYLFSew2OjvpLlLWxNEkCGlEcKYhdYeVd9VtUM5fzHcEfvuDPM58vbLxNtAdjustment / credit note | CZYLFSew2OjvpLlLWxNEkCGlEcKYhdYeVd9VtUM5fzHcEfvuDPM58vbLxNtAdjustment / credit note | CZYLFSew2OjvpLlLWxNEkCGlEcKYhdYeVd9VtUM5fzHcEfvuDPM58vbLxNtAdjustment / credit note | CZYLFSew2OjvpLlLWxNEkCGlEcKYhdYeVd9VtUM5fzHcEfvuDPM58vbLxNtAdjustment / credit note | CZYLFSew2OjvpLlLWxNEkCGlEcKYhdYeVd9VtUM5fzHcEfvuDPM58vbLxNtAdjustment / credit note | CZYLFSew2OjvpLlLWxNEkCGlEcKYhdYeVd9VtUM5fzHcEfvuDPM58vbLxNtAdjustment / credit note | CZYLFSew2OjvpLlLWxNEkCGlEcKYhdYeVd9VtUM5fzHcEfvuDPM58vbLxNtAdjustment / credit note | CZYLFSew2OjvpLlLWxNEkCGlEcKYhdYeVd9VtUM5fzHcEfvuDPM58vbLxNt
0071601652,61.6,2019-05-04,07/14/2016,26.07.2018,Global Limited;,NLD ,BRS@G0010N,NV Partners TradingNV Partners TradingNV Partners TradingNV Partners TradingNV Partners TradingNV Partners Trading,123,NOPM,GBP ,0.0006593220651910395,407476.16,"21,0%",AU,South Africa,Exempt supply
500220003,270,03/04/2019,13.07.2015 +02:00,,BV GmbH BV Inc BV,PL,0055653OJ0,"	GmbH , Partners , K.K. , Limited¥
",ESP,VATHJSKYZ1ZV,JPY,304357.39,€63910.61,"0,21",Spain,,Rounding diff
0804760534,47,2026-00-10,2026-04-31,2027/01/10,K.K. Co Sarl K.K. Inc,BR,BRGJKANRK6CPQE,Global  SpA  GmbH  GmbH  IncGlobal  SpA  GmbH  GmbH  IncGlobal  SpA  GmbH  GmbH  IncGlobal  SpA  GmbH  GmbH  IncGlobal  SpA  GmbH  GmbH  IncGlobal  SpA  GmbH  GmbH  Inc,IN,©™INOPBJKO0W9UDF, USD,-742583896839.0422,-742583896839.04,100,United Kingdom,GB,N/A
231584589,-12,'2027/10/27',2026/99/01,20170424,Inc	Trading	LLC	SpA	BV,Nederland,ES45706591,Holdings BV,Canada,GBPX633OLA,PLN,GBP 279631.51,116052.00,21%%,DE/FR,NO,Export zero-rated
(.\},37.1,20180501,2023/06/04,1/1/1,NV Inc S.A. &,ZA,VATZAFBRDV2R1NXU96R,Sarl Oy --€™,United States,B_8A5QBGWFT29.XVAT,EUR,--123,"65,410.44",25.0%,SE,IE,Adjustment / credit note
NaN,zKl,20200809,02/19/2025,2026-04-31,"Oy
Inc
Trading",United Kingdom,PB- PB-,"B.V. , S.A.™🚀",NO,VATRD3,PLN,--123,"461503,68",0.25,JP,Netherland,Import VAT | 55VfGWFh9arcC0Xr7s9MSnmVRrGeBBI4VbmWBQinT7mmYBKwAPlz
707246041,GZkE4,2026/99/01,03.12.2018,2052/09/10,"BV Co BV Holdings,",NLD ,,€& Oy Oy	😀,United States,BRF@TFLZNH,eur, (123.45) ,,2 1 %,FR,IN,ReimbursementReimbursementReimbursementReimbursementReimbursementReimbursementReimbursementReimbursementReimbursementReimbursementReimbursementReimbursementReimbursementReimbursementReimbursementReimbursement
^>*!$,58,,"20250327 GMT+2""",12/01/2026,"Holdings , GmbH",Spain,PRI8/H,K.K. Holdings Holdings SpA,XX,,CNY,"174,215.67","""123.45""",0.07,UAE,Netherland,Reverse charge appliesReverse charge appliesReverse charge appliesReverse charge appliesReverse charge applies
LEYNn,289,19130925,2023-08-05,29/02/2025,K.K. LLC S.A. Inc Limited,123,VATETLQPPRRU,& SpA Sarl NV,JP,JPMGTXUQBO,CHF,341039.74 ,64791.13,19.0,JP,IT,Intra-EU acquisition | Rw3BfmdtN5UTxVXGvr CB9twbh sPCD QSymTv4yyUOLKF07DIntra-EU acquisition | Rw3BfmdtN5UTxVXGvr CB9twbh sPCD QSymTv4yyUOLKF07DIntra-EU acquisition | Rw3BfmdtN5UTxVXGvr CB9twbh sPCD QSymTv4yyUOLKF07DIntra-EU acquisition | Rw3BfmdtN5UTxVXGvr CB9twbh sPCD QSymTv4yyUOLKF07DIntra-EU acquisition | Rw3BfmdtN5UTxVXGvr CB9twbh sPCD QSymTv4yyUOLKF07DIntra-EU acquisition | Rw3BfmdtN5UTxVXGvr CB9twbh sPCD QSymTv4yyUOLKF07DIntra-EU acquisition | Rw3BfmdtN5UTxVXGvr CB9twbh sPCD QSymTv4yyUOLKF07DIntra-EU acquisition | Rw3BfmdtN5UTxVXGvr CB9twbh sPCD QSymTv4yyUOLKF07DIntra-EU acquisition | Rw3BfmdtN5UTxVXGvr CB9twbh sPCD QSymTv4yyUOLKF07DIntra-EU acquisition | Rw3BfmdtN5UTxVXGvr CB9twbh sPCD QSymTv4yyUOLKF07D
&})}(>],416,2023-08-03 03:13:10,27.09.1951,2022-08-28,"🚀NV	GmbH	LLC,NV	GmbH	LLC,NV	GmbH	LLC,NV	GmbH	LLC,😀",South Africa,Z,NV Sarl Limited Holdings B.V.,NOR, ,CAD,463214.08,97274.96,0.21,BE,CN,Reverse charge applies
0003080262,zero,20260302,2026.05.08.12.99.00,2026-12-32,"Partners , SpA , Trading , B.V.",IN,1.WKQU,Oy S.A.Oy S.A.Oy S.A.Oy S.A.Oy S.A.Oy S.A.,China,2FV/K4QHD7CFRZ0,CNY,608392174562.2253,127762356658.07,"0,21",NL,JP,Payment fee | mLcVwK6womtTM1GFooHgR3
[;:/:\;](,372,,2017-11-16,,GmbH GmbH,Germnay,LVL7IXC72GHS7G.CP_L1L_G_U,	®®LLC Global Co,Ireland,L-3B5P1B6TJBGP.QBV87ES9ZZ L-3B5P1B6TJBGP.QBV87ES9ZZ,US$,"GBP 472836,80",33092.56,0.07,???,CN,Intra-EU acquisition | fPLEszbWi W1zNM37i4guQbD4zW
0419120955,459,2026-05-08T25:61:61,N/A,2026.05.08.12.99.00,Oy GmbH Partners Global SpA,DE,"VATDESZ61RB7YUYLCM59Q9273",LLC LLC Holdings B.V.,BE,UNKNOWN,€, (123.45) ,469387.00,"21,0%",GB,NLD ,Payment fee
000836970550,N,2018-04-30 16:21:06,10/13/2027,2024/02/18,NV Trading,NO,PLNSMVRIL,Trading NV,SE,SE7CJQ2,JPY,1e309,NULL,VAT21,AU,ES,Consulting services
$||\{?(??>.,434,20271223,11/06/2016,20210202,Inc SarlInc SarlInc SarlInc Sarl,DE/FR,676ESYX2C1_XH3C2MJ-GRQIK9VAT,"S.A. , Partners , Inc , BV , Holdings	",SE,£🚀SEPQNX3JS5,PLN,USD 286013.17,60062.77,"21,0%",Germnay,JP,Intra-EU acquisition | wUfaY8Hk767NdHXSWGOAoXRvQ4lKhK2z2WKI9lcU2cL
0404171217,82,2015-03-21,N/A,2024-01-09,"&
S.A.
K.K.
Sarl
Partners",NL,NL-084928384-B14,🚀£😀Co Sarl©®,IN,INHWQ5BN6QVR,GBP,-364716154274.6666,240905.64,2 1 %,ITA,🇳🇱,Exempt supply | JJnbwqFpdDnHPOLF9As8lk3ZeZNLR62DeQ9YBBk N 6OLcWbrXUSPKI5DP0tab	inside
524081553,18,31/02/2026,2027-01-06 (local),08-05-26,"& Holdings Global K.K.""",CN,CNP9G1W4HVDOJ6PZ,"Trading , Holdings",ZAF,AUTYZQ24IJM1OYD22LVDK6VAT,JPY¥,"1 234 567,89",123444436.27,9999,ZA,JP,
960323806,266,2026/99/01,2023-10-10,13/13/2013,UeIxHm5l8vBCb1FKscBeyu0lHa,US,,Sarl S.A. LLC SpA,FR,FR8YP2H77Q2PSK2J876UY9,SEK,"-2490,22",-473.14,19.0%,JP,USA,Export zero-rated
"&,/!\<",97,08/01/2024 GMT+2,2022/08/24,08/18/2017,SpA S.A. Holdings,India,1W42LTR.P,S.A. Oy NV Sarl S.A.,SE,PQK3SN,DOLLAR,-Infinity,-inf,0.05,NL,Germnay,Intra-EU acquisition
577189606,jKlGU,00/00/0000,06/11/2024,10/19/2017,NV Oy,IE,IEXGFEBW3O42RP7D,Co Inc,IN,INHISO2O9MOQ,CAD,--123,GBP 419 778.00,0.2,IN,  ,Payment fee | i90PxHcAVAm3xZGQCPYHPdYjE5ML6veuesBfnjvvpZfUHmpz8Naadn8PE
213230056,B,11-Dec-2028,01/19/2027,2026-2-30,Oy Co LLC Holdings,🇳🇱,es434228639,Limited SpA Sarl,AE,VATTXVC-F61O,USD,343 934.70,72226.29,"0,21",  ,Brazil,Exempt supply | mYB3QPXCA U
658322011,K3przr,2016-09-06,2026-2-30,05/06/2016,SpA  K.K.  Oy  GmbH	,NLD ,_EXGMV0FY,"Oy , BV",IT,ITGGYW15WBP3,eur,449183.90,€31442.87,7.000000000000001,ZAF,Netherlands,₹Import VAT£™€₹Import VAT£™€₹Import VAT£™€₹Import VAT£™€₹Import VAT£™€₹Import VAT£™€₹Import VAT£™€
0094976671,-5,"14/04/2016""",2021-08-09,14.05.2021 GMT+2,n2zCEKMl909kxWn7a8uMEXkUy,IE,NO5AIB,K.K. B.V. Partners NV,,IEKZ5KS,GBP,0.0008303136962887802,0.00,0.1,GB,Nederland,Software license | L7AbwnsCLCnMtNTdMcBbFrRh6tpKJecQ5V8HL;DROP TABLE T;
0885722462,66,10/26/2024,2015-05-15,10/13/2015,"£™Global Holdings""",US,USDW3AV60DSQNEXC USDW3AV60DSQNEXC,K.K. Global OR 1=1,IN,UNKNOWN,GBP,141 504.37,327 607.96,twenty one percent,United States,IE,Rounding diff | vYll2T2M5e9SzL
0978491904, ,,2026/99/01,2026-05-08T25:61:61,,BR,/1A4/. /1A4/.,"K.K.
Global",DE,DE7UU7Z,0,GBP 44156.61,406366.42,twenty one percent,PL,DEU,Payment fee
|?>,65,20150517,20220731 GMT+2,31/02/2026,"©Inc BV Limited🚀",PL,PL0R,K.K. & Global & Oy OR 1=1,FR,FR-4886542-U1,NOK,1e309,inf,21%%,United States,ITA,Freight charges
0354421594,142,2026.05.08.12.99.00,24-Apr-2017,"May 35, 2026",,DE,DE 84536758941320,B.V. NV NV Sarl NV,Germnay,NOBP6X6IHMXZVYOMVAT,CNY,12..34,-547797431070.6239,0.05,Netherland,NO,Payment fee
731689207,35,2026-13-01,08-Apr-2018,2024-10-14,Global NV,IT,ITTC47QQWLR2DBRP3U5O0JVAT,Limited BV & Co,Spain,UNKNOWN,NOK,"8932,17",8923.19,100,GB,FR,Exempt supply
608338986,AICI,09-Nov-2024,null,1/1/1,Holdings Global GmbH Inc SpA,AUS,JPX08PJNCPL7LC,97ESd-4METSQF21HqOhRxT6c7mKh,SE,SE73W1BE9HUOG5E5,0,2263.82,   123   ,twenty one percent,Ireland,DE,"Rounding diff | efC9l3HrZZ6G2GCK4ZbaFzAssTrFjd5Xt C1y3DA3ys4TJM78fVcomma,inside"
@&(!&}(:,29,'2023-10-13',N/A,2026.05.08.12.99.00,Sarl Limited & GmbH OR 1=1,CHN,FWA0AU,LLC Limited Co,IT,31612023821539,AUD,96163.34,-28962.74,-0.3012381313382644,Germnay,GB,Freight charges
0489405263,367,16.08.2015,2015-12-04 09:20:39,20220405,S.A. LLC,Germany,VATZA4@@YC4D4HVCQ,Inc S.A. SpA Sarl K.K.;,FRA,M14,CAD,126126.54,6306.33,0.05,NL,IN,Software license;DROP TABLE T;Software license;DROP TABLE T;Software license;DROP TABLE T;Software license;DROP TABLE T;Software license;DROP TABLE T;Software license;DROP TABLE T;Software license;DROP TABLE T;Software license;DROP TABLE T;Software license;DROP TABLE T;Software license;DROP TABLE T;Software license;DROP TABLE T;Software license;DROP TABLE T;Software license;DROP TABLE T;Software license;DROP TABLE T;Software license;DROP TABLE T;Software license;DROP TABLE T;Software license;DROP TABLE T;Software license;DROP TABLE T;Software license;DROP TABLE T;
623106692,213,25/03/2025,null,02-Jan-2017,Trading Limited Oy,DE,75_S65,"& Limited Trading Partners S.A.,",IT, ,JPY,-555821076354.4552,-555821076354.46,100,Netherlands,Poland,Consulting services
348025590,Vv,2017-07-09 10:08:12,06-Jun-1965,30/11/2021,Trading Limited BV Holdings,BE,BE133314646,SpA Partners,SE,"SERK5SEH0K35D@C4L85CKX SERK5SEH0K35D@C4L85CKX",CHF,"""123.45""", (123.45) ,0.05,Holland,CA,"Freight charges | ystW5VU0UKEF1TTYdmpwNlbkeKA7zO4pbFUphycomma,inside"
126043709,315,14.06.2025,01/02/2025,2026-13-01,M-4euhlbc_GT8tjvC6DG,AE,QAD2Z..-J5LLTK0,HuFqhjfePN2aISZtquEBgdX,CA,🚀😀CA58K17IDC, USD,337231.17,"£- 123,45",0.0%,ES,AU,Export zero-rated | w9V8SqhTFD70hGV1ln NRBA4mBp 68n4auZGwV7zGGJE25rjEWgNcExport zero-rated | w9V8SqhTFD70hGV1ln NRBA4mBp 68n4auZGwV7zGGJE25rjEWgNcExport zero-rated | w9V8SqhTFD70hGV1ln NRBA4mBp 68n4auZGwV7zGGJE25rjEWgNcExport zero-rated | w9V8SqhTFD70hGV1ln NRBA4mBp 68n4auZGwV7zGGJE25rjEWgNcExport zero-rated | w9V8SqhTFD70hGV1ln NRBA4mBp 68n4auZGwV7zGGJE25rjEWgNcExport zero-rated | w9V8SqhTFD70hGV1ln NRBA4mBp 68n4auZGwV7zGGJE25rjEWgNcExport zero-rated | w9V8SqhTFD70hGV1ln NRBA4mBp 68n4auZGwV7zGGJE25rjEWgNcExport zero-rated | w9V8SqhTFD70hGV1ln NRBA4mBp 68n4auZGwV7zGGJE25rjEWgNcExport zero-rated | w9V8SqhTFD70hGV1ln NRBA4mBp 68n4auZGwV7zGGJE25rjEWgNcExport zero-rated | w9V8SqhTFD70hGV1ln NRBA4mBp 68n4auZGwV7zGGJE25rjEWgNcExport zero-rated | w9V8SqhTFD70hGV1ln NRBA4mBp 68n4auZGwV7zGGJE25rjEWgNcExport zero-rated | w9V8SqhTFD70hGV1ln NRBA4mBp 68n4auZGwV7zGGJE25rjEWgNcExport zero-rated | w9V8SqhTFD70hGV1ln NRBA4mBp 68n4auZGwV7zGGJE25rjEWgNcExport zero-rated | w9V8SqhTFD70hGV1ln NRBA4mBp 68n4auZGwV7zGGJE25rjEWgNcExport zero-rated | w9V8SqhTFD70hGV1ln NRBA4mBp 68n4auZGwV7zGGJE25rjEWgNcExport zero-rated | w9V8SqhTFD70hGV1ln NRBA4mBp 68n4auZGwV7zGGJE25rjEWgNcExport zero-rated | w9V8SqhTFD70hGV1ln NRBA4mBp 68n4auZGwV7zGGJE25rjEWgNcExport zero-rated | w9V8SqhTFD70hGV1ln NRBA4mBp 68n4auZGwV7zGGJE25rjEWgNcExport zero-rated | w9V8SqhTFD70hGV1ln NRBA4mBp 68n4auZGwV7zGGJE25rjEWgNcExport zero-rated | w9V8SqhTFD70hGV1ln NRBA4mBp 68n4auZGwV7zGGJE25rjEWgNc
/{;<,wlt,2025-09-24 18:00:00,1/1/1,,"NV , B.V. , Oy , Limited , Trading",CN,CNJZZ@79ZYV82GTD,K.K. K.K.,NO,NO973MQ,JPY,-463271392458.34607,0.0002280097048652397,VAT21,NLD,Ireland,Exempt supplyExempt supplyExempt supplyExempt supplyExempt supplyExempt supplyExempt supplyExempt supplyExempt supplyExempt supplyExempt supplyExempt supplyExempt supplyExempt supplyExempt supply
||@[!,gr6ky,2026/99/01,N/A,15-Jun-2017,LLC & GmbH,BRA,N,,NL,NL4VHZGT2D,CHF,194073.89,360039.12,100,CA,Nederland,Office supplies | XLvZOOphzdIZMo
|<,8,2026-04-31,2026-00-10,2027-01-04,Co NV,China,7KBZ31,"K.K. Sarl BV K.K.®",IN,IN67NFI,INR,"""123.45""","1,2,3",0.09,NO,IN,Adjustment / credit note
",^;%|",-13,14.07.2022,2026.05.08.12.99.00,01/06/2016,Global Inc Sarl Co NV,JP,JP7RJ4P8WKXI,,FR,fr3774343,CHF,12..34,"405,849.14",0.19,CA,SE,"Office supplies;DROP TABLE T;®©
"
"*^],(}$&@*{",XawW,2026-05-08T25:61:61,20200420,"20211012""",™🚀🚀K.K. &₹,ZAF, ,Oy Oy Trading,CN,BC2FEFAXGL87Q2RD.S-SQJH__,CNY,106970.93,20315.61,0.19,BRA,BE,£®£Adjustment / credit note£®£Adjustment / credit note£®£Adjustment / credit note£®£Adjustment / credit note£®£Adjustment / credit note£®£Adjustment / credit note£®£Adjustment / credit note
000044918144,323,2020/09/26,13/13/2013,02/21/2020,K.K. B.V. Limited LLC LLC,NO,UNKNOWN,K.K. IncK.K. IncK.K. Inc,,SE4S,NOK,380986.68,79997.57,21%%,PL,Holland,Consulting servicesConsulting servicesConsulting servicesConsulting servicesConsulting servicesConsulting servicesConsulting servicesConsulting servicesConsulting servicesConsulting servicesConsulting services
"&,/!\<",348,08.05.2025,2017/03/13 (local),08-05-26,& B.V. LLC,DE,DEXL,Co Co SpA,NL,₹™VATQ766DS3G/YZ0DBWIEHERB8LGE,CAD,237552.27,€21379.70,0.09,ZA,AE,Payment fee
000571746725,-18,2017/02/27 +02:00,,"May 35, 2026","BV , S.A.",US,USVZRQ52BKR9BVPFY35J9R,Co NV SpA B.V.,South Africa,MP423A48L06156Y,CHF,81126.11,€8118.21,0.1,IN,ES,
687859495,XB650,2022-06-30,2015/10/23,2026-00-10,GmbH  Co,UAE, ,"Trading , LLC , Oy , S.A. , GmbH",NL,NL327076568B27,,54061.08,"267837,30",0.21,GB,Brazil,
671374135,3HT,10/30/2019,2020-02-03 03:08:02,03.08.2020,Inc Oy BV Partners PartnersInc Oy BV Partners PartnersInc Oy BV Partners Partners,GB,UPHR29VAT,& NV Sarl,, ,GBP,227403.81,15918.27,0.07,Netherlands,NLD ,"Intra-EU acquisition	😀"
000352891431,208,,20160727,28.05.2023,Partners Co,France,"
😀DEZ0J@1RKJY1","Global , Oy , Inc , Sarl , SpA",Netherlands,😀₹_8XX09GNYSC/YMETCUMDN1/EQ, USD,489894.29,-1363424.87,-2.7830961282602305,IN,South Africa,Manual journal entry
0320349243,gkrAbD,2024/04/13,2026.05.08.12.99.00,27.12.2022,,JPN,AU6E AU6E,"Holdings , SpA , B.V. , K.K.",Netherlands,,EUR,997297314495.0845,194041.20,twenty one percent,ZA,DE/FR,
458026027,101,,2019-02-14,29/02/2025,NV Trading;,NL,,6CFVV-vh10Pt8wLww,NO,NOIFL2DSV46240,USD,300917.94 ,63192.77,21.0%,PL,ZA,Software license | 9jUH7FGjFAEhJE23GOiiLosI2rQt8SxDT Jb8RlGN60VNVeK1epF
000472848339,xowP,2026-00-10,06/16/2025,10/04/2018 (local),"Holdings , Holdings , Holdings , Inc , Co",DE,DE5JGNSZZT7YJR,😀©B.V. Co NV NV NV'😀,US,9VAT,US$,-208171246591.34924,"475,116.54",-0.1966862316365603,Norway,GB,Office supplies
360085120,JxHsi,01/11/2015,13/13/2013,07/05/2035,Trading Trading BV Co,BE,K53PWE,"¥©Co Co Co",AE,AE4E74ZG2OOT7R5UTFL2TM,CNY,108146.29,20547.80,0.19,BE,AE,Manual journal entrytab	inside
0574891241,316,20230527,20270429,12/04/2023,"¥🚀Sarl Limited NV Holdings£",CA,CAWQVBOKGJ8T,kjV0CBG9vbv5EkGzZBa3frQu4HizOHgnxgO,NO,NO61R0JNUXVAT,,12..34,0.0005016260868733386,-1.0087456995780562,Poland,ES,Manual journal entry | aeIU49j7z9L2 SbwjaSGgKJut b
ptsp1pBmkpsQuUGg,,2020-12-12 10:43:29,17-May-2022,2024-12-29,Global BV & Limited SpA,ES,ESYGE2PZ4K4RVAT,BV Sarl NV,PL,PL 64306804209,JPY,1e309,364872.31,19.0,N L,ZAF,Payment fee | q3MKM5MtEFvn2GKQZtFUwj1PJNXNK Q
"*&#/^,",258,2017-11-29,24/07/2023,,"S.A. , Limited££",UAE,,Holdings Partners SpA Co Holdings,US,US8DYJB,0,"1,2,3",219870.66,-2.682381726002992,IE,Ireland,Import VAT | XybjKTSPNwwPFmkACjte8qLsud8IUOJ
000061143731,48,2020-11-06 23:40:55,"2026/08/25Z""",2023-06-15 15:12:30,Holdings Oy Inc GmbHHoldings Oy Inc GmbHHoldings Oy Inc GmbHHoldings Oy Inc GmbHHoldings Oy Inc GmbH₹,AE,VATAE4OSTUBIP4B,Oy SpA Oy NV,Germnay,NOCXFZ9Y6MEO5J,EURO,121535.97,0.0007511933488781306,"0,21",Norway,🇳🇱,Reimbursement
348898495,A5ksb,2026/02/27,04/11/2026,28-Dec-2022,4QqEDQx94TWsaGs,GB,GBD2B2XWGDGHM3 GBD2B2XWGDGHM3,"	😀Partners Co NV
",NLD ,5LC,SEK,0xFF,281 441.75,0.09,BR,IE,"Consulting servicesline
break"
"),${&<($!&<",340,2026-13-01,20231111,28-Feb-2015,"	SpA Sarl Co🚀₹€",NL,NL357333171B76,Limited Limited GmbH LLC,Norway,Z6O9BJ,JPY, (123.45) ,410621.70??,"21,0%",ZAF,Sweden,Adjustment / credit note
"{.@,<>",-20,19/02/2017 +02:00,1997-03-24,"May 35, 2026",GmbH  &  Global  Inc,NLD,AUNBEEGUNJPWIZ,"Global  &;
	",DE,DE967EPW20CDR39PTW5@BJ,NOK,NULL,"£- 123,45",9999,DE,FR,Exempt supply | BT7wSKiMXpLlFzh8yNoGaIeFWOz3r6NGVWhkm aX4 t2RV8xaiP0jv
000226295655,qY,09.10.2020,29-May-2023,00/00/0000,yba2giEDGaK05h7_C_591WH7jeX,United Kingdom,PL30496778063??,SpA Inc GmbH,Holland,BE877922503061,CAD,341863.01,17101.87,0.05,CA,???,Office supplies
205853607,372,2027-07-28,null,'01/05/2021',"Holdings
Global
& /*test*/",???,VATSEHN9LWWOVVLP2QX,B.V.	NV	BV	Oy,CN,CNSYOPX40ZL5KOKVKCCH2P,INR,--123,"1,2,3",21.0,US,US,Rounding diff | x9QyEPCTdvtZ6n7yCAgxJqt09qe39m2OxC9MSj8kGYGGiFnxtKCLcede
[%/}>$]^#(!>,1212,01/31/2026,null,2019-08-29,Trading & Trading Sarl BV OR 1=1,NLD ,JPQZS4R7EWDMCUF0X9J8DQ,Global B.V. Partners,NL,,CNY,"201046,23",1e309,"0,21",Brazil,NLD,Exempt supply
000578830383,183,null,2026-05-08T25:61:61,"May 35, 2026",NV NV S.A. LLC Global,FR,FR66508184VSU66508184,S.A.	Global	S.A.,Japan, , USD,113058.46,213340.76,"21,0%",IT,CN,Reverse charge appliesReverse charge appliesReverse charge appliesReverse charge appliesReverse charge appliesReverse charge appliesReverse charge applies
];%,zero,2026-12-32,2026-05-08T25:61:61,2019-02-07 03:22:30,S.A.	Co	BV	Holdings	BV,ES,67920289781H,NV NV S.A. Partners Co,NL,HE/_KZ_0Z,CHF,97570507234.74106,20489806516.97,21%%,NLD,Belgium,
]/&]##,297,2026-12-32,2025/02/21,20180622,BV Sarl B.V. NV --,IE,IE1ALPECKNHURO,Global B.V. NV SpA,Nederland,_EI3UTOJNDIY81028KCXL8REX,CHF,478270.41,465871.14,twenty one percent,JP,FR,Exempt supply
79507758,,9999-99-99,2024-05-02,22.03.2019,Oy OyOy OyOy OyOy Oy,FRA,_QB,Sarl S.A. B.V.,CA,CA81HLT,CHF,405 026.55 EUR,109729.94??,0.09,AU,NL,Office supplies
000868401171,VG,29/02/2025,1964/08/05 GMT+2,08-05-26,K.K.  &  Trading  Oy  K.K.,SE,SEO12TOZQLMC74KVJ617EJ,Limited K.K. K.K.,XX,XXXL,EUR,USD 116800.99,24533.17, 0.2100 ,GB,Brazil,Reverse charge applies | 1Ly5vOkN7ZGcE1TnpfQ2qGT6Qzl 0fDppQvMCPzSKnqlABF2dmnAXMp0;DROP TABLE T;
7576416,GbHn,12/01/2015,"""2020-04-01",2024-08-26,Sarl BV SpA,DE,X.07W2VPU,£™& K.K. SpA,DE,VESVTB-5SQ92JAS,USD,USD 54508.80,376.494.91,21%%,Germnay,GB,Rounding diff
\;?!!\$>.&},128,2026-2-30,05/05/2020,2026-12-32,Limited Partners LLC S.A. S.A.,BR,BRX4O71VYLO2,Sarl Global Inc NV /*test*/,BE,BEGY77GR0N0W,INR,,"175283,60",N/A,AUS,CN,"
	Software license"
"(##%,",370,03/08/2018,07.09.2024,31-Jul-2019,   ,FR,FR09193865U,,BE,"
€BEAA8LMF3Q",INR,USD 6373.82,€573.64,9.0%,IT,IE,Adjustment / credit note
000376434946,2147,9999-99-99,04.03.2020 (local),11.11.2020,krjf-qR,IND,DW3LV55F/SFFS1OVMW7RI6BU4,"S.A.
&
Partners",123,CA0PAJOQLRDG9BSAMU9CLT,EUR,299937565789.3127,29990757203273.38,9999,NLD ,Nederland,		®Reverse charge applies | Lf0hUkP2YsXk0mj4hPd558M2GtmABcjxPJFTDE96FaOMi3xPRDHktQKs🚀€
000445314422,280,15/10/1920,20170918,10-Jun-2021 UTC,™SpA BV®,China, ,Inc & SpA SpA &,BE,BE545272392257137,JPY,280763.56 ,0.00,0,  ,AE,Freight charges | 9tU2xfZQtNr0PCn9zxAIhzl3D6JGmgczWyDujxnLOPIOpEqCHpkhtab	inside
FydNP11EGVYn,77,2022-04-24 GMT+2,19090627,,😀😀Partners GmbH Partners€,Japan,N/A,Trading Partners & LLC;,GB,VATGB0DYXXASQXU52,SEK,980054223264.0706,492239.26,21%%,Norway,FR,Payment fee
$$;%,FxBvWS,15.09.2022,N/A,00/00/0000,Inc Oy Global Global &,NO,NOLE4XZZITZSD57K2GM4I7,"S.A. , K.K. , Partners , NVS.A. , K.K. , Partners , NVS.A. , K.K. , Partners , NVS.A. , K.K. , Partners , NVS.A. , K.K. , Partners , NV",AE,V44,JPY,208663.69,14606.46,0.07,DE,Sweden,Office suppliesOffice suppliesOffice suppliesOffice suppliesOffice suppliesOffice suppliesOffice suppliesOffice suppliesOffice suppliesOffice supplies
